lens_id,label,value,category
nikon_10-20_4p5-5p6g_vr,Lens type,Zoom lens,Principal specifications
nikon_10-20_4p5-5p6g_vr,Max Format size,APS-C / DX,Principal specifications
nikon_10-20_4p5-5p6g_vr,Focal length,10–20 mm,Principal specifications
nikon_10-20_4p5-5p6g_vr,Image stabilization,Yes (3.5 stops),Principal specifications
nikon_10-20_4p5-5p6g_vr,Lens mount,Nikon F (DX),Principal specifications
nikon_10-20_4p5-5p6g_vr,Maximum aperture,F4.5–5.6,Aperture
nikon_10-20_4p5-5p6g_vr,Minimum aperture,F29,Aperture
nikon_10-20_4p5-5p6g_vr,Aperture ring,No,Aperture
nikon_10-20_4p5-5p6g_vr,Number of diaphragm blades,7,Aperture
nikon_10-20_4p5-5p6g_vr,Elements,14,Optics
nikon_10-20_4p5-5p6g_vr,Groups,11,Optics
nikon_10-20_4p5-5p6g_vr,Special elements / coatings,Three aspherical + Super Integrated Coating,Optics
nikon_10-20_4p5-5p6g_vr,Minimum focus,0.22 m (8.66″),Focus
nikon_10-20_4p5-5p6g_vr,Maximum magnification,0.17×,Focus
nikon_10-20_4p5-5p6g_vr,Autofocus,Yes,Focus
nikon_10-20_4p5-5p6g_vr,Motor type,Stepper motor,Focus
nikon_10-20_4p5-5p6g_vr,Full time manual,Yes,Focus
nikon_10-20_4p5-5p6g_vr,Focus method,Internal,Focus
nikon_10-20_4p5-5p6g_vr,Distance scale,No,Focus
nikon_10-20_4p5-5p6g_vr,DoF scale,No,Focus
nikon_10-20_4p5-5p6g_vr,Weight,230 g (0.51 lb),Physical
nikon_10-20_4p5-5p6g_vr,Diameter,77 mm (3.03″),Physical
nikon_10-20_4p5-5p6g_vr,Length,73 mm (2.87″),Physical
nikon_10-20_4p5-5p6g_vr,Sealing,No,Physical
nikon_10-20_4p5-5p6g_vr,Colour,Black,Physical
nikon_10-20_4p5-5p6g_vr,Zoom method,Rotary (extending),Physical
nikon_10-20_4p5-5p6g_vr,Power zoom,No,Physical
nikon_10-20_4p5-5p6g_vr,Zoom lock,No,Physical
nikon_10-20_4p5-5p6g_vr,Filter thread,72.0 mm,Physical
nikon_10-20_4p5-5p6g_vr,Tripod collar,No,Physical
nikon_8-15_3p5-4p5e_ed,Lens type,Zoom lens,Principal specifications
nikon_8-15_3p5-4p5e_ed,Max Format size,35mm FF,Principal specifications
nikon_8-15_3p5-4p5e_ed,Focal length,8–15 mm,Principal specifications
nikon_8-15_3p5-4p5e_ed,Image stabilization,No,Principal specifications
nikon_8-15_3p5-4p5e_ed,Lens mount,Nikon F (FX),Principal specifications
nikon_8-15_3p5-4p5e_ed,Maximum aperture,F3.5–29,Aperture
nikon_8-15_3p5-4p5e_ed,Minimum aperture,F4.5–29,Aperture
nikon_8-15_3p5-4p5e_ed,Aperture ring,No,Aperture
nikon_8-15_3p5-4p5e_ed,Number of diaphragm blades,7,Aperture
nikon_8-15_3p5-4p5e_ed,Elements,15,Optics
nikon_8-15_3p5-4p5e_ed,Groups,13,Optics
nikon_8-15_3p5-4p5e_ed,Special elements / coatings,"Three ED + two aspherical elements, Nano Crystal and fluorine coatings",Optics
nikon_8-15_3p5-4p5e_ed,Minimum focus,0.16 m (6.3″),Focus
nikon_8-15_3p5-4p5e_ed,Maximum magnification,0.34×,Focus
nikon_8-15_3p5-4p5e_ed,Autofocus,Yes,Focus
nikon_8-15_3p5-4p5e_ed,Motor type,Ring-type ultrasonic,Focus
nikon_8-15_3p5-4p5e_ed,Full time manual,Yes,Focus
nikon_8-15_3p5-4p5e_ed,Focus method,Internal,Focus
nikon_8-15_3p5-4p5e_ed,Distance scale,No,Focus
nikon_8-15_3p5-4p5e_ed,DoF scale,No,Focus
nikon_8-15_3p5-4p5e_ed,Weight,485 g (1.07 lb),Physical
nikon_8-15_3p5-4p5e_ed,Diameter,78 mm (3.07″),Physical
nikon_8-15_3p5-4p5e_ed,Length,83 mm (3.27″),Physical
nikon_8-15_3p5-4p5e_ed,Materials,Magnesium alloy,Physical
nikon_8-15_3p5-4p5e_ed,Sealing,No,Physical
nikon_8-15_3p5-4p5e_ed,Colour,Black,Physical
nikon_8-15_3p5-4p5e_ed,Zoom method,Rotary (extending),Physical
nikon_8-15_3p5-4p5e_ed,Power zoom,No,Physical
nikon_8-15_3p5-4p5e_ed,Zoom lock,No,Physical
nikon_8-15_3p5-4p5e_ed,Hood supplied,Yes,Physical
nikon_8-15_3p5-4p5e_ed,Tripod collar,No,Physical
sony_fe_12-24_4_g,Lens type,Zoom lens,Principal specifications
sony_fe_12-24_4_g,Max Format size,35mm FF,Principal specifications
sony_fe_12-24_4_g,Focal length,12–24 mm,Principal specifications
sony_fe_12-24_4_g,Image stabilization,No,Principal specifications
sony_fe_12-24_4_g,Lens mount,Sony FE,Principal specifications
sony_fe_12-24_4_g,Maximum aperture,F4–22,Aperture
sony_fe_12-24_4_g,Minimum aperture,F4–22,Aperture
sony_fe_12-24_4_g,Aperture ring,No,Aperture
sony_fe_12-24_4_g,Number of diaphragm blades,7,Aperture
sony_fe_12-24_4_g,Elements,17,Optics
sony_fe_12-24_4_g,Groups,13,Optics
sony_fe_12-24_4_g,Special elements / coatings,"Aspherical, ED & Super ED elements, Nano AR & fluorine coatings",Optics
sony_fe_12-24_4_g,Minimum focus,0.28 m (11.02″),Focus
sony_fe_12-24_4_g,Maximum magnification,0.14×,Focus
sony_fe_12-24_4_g,Autofocus,Yes,Focus
sony_fe_12-24_4_g,Motor type,Piezoelectric,Focus
sony_fe_12-24_4_g,Full time manual,Yes,Focus
sony_fe_12-24_4_g,Focus method,Internal,Focus
sony_fe_12-24_4_g,Distance scale,No,Focus
sony_fe_12-24_4_g,DoF scale,No,Focus
sony_fe_12-24_4_g,Weight,565 g (1.25 lb),Physical
sony_fe_12-24_4_g,Diameter,87 mm (3.43″),Physical
sony_fe_12-24_4_g,Length,117 mm (4.61″),Physical
sony_fe_12-24_4_g,Materials,Aluminum alloy,Physical
sony_fe_12-24_4_g,Sealing,Yes,Physical
